 Date,Line,Distance,Temp
12/10/09,324,4.267,20
12/10/09,324,4.291,20.1
1/2/10,324,4.559,21.7
12/15/09,324,4.964,21.7
12/10/09,324,5.128,20
12/10/09,324,5.211,20
12/10/09,324,5.850,20
1/2/10,324,11.108,21.7
1/16/10,335,0.240,21.7
1/16/10,335,0.361,21.7
1/16/10,335,0.445,21.7
1/16/10,335,0.463,21.7
1/25/10,335,0.490,22.5
1/16/10,335,0.504,21.7
1/25/10,335,0.577,22.5
1/16/10,335,0.581,21.7
1/25/10,335,0.656,22.5
1/13/10,335,0.734,22.4
1/25/10,335,0.764,22.5
1/25/10,335,0.789,22.5
1/25/10,335,0.837,22.5
1/16/10,335,0.842,21.9
1/25/10,335,0.857,22.5
1/16/10,335,0.866,21.7
1/25/10,335,0.868,22.5
1/25/10,335,0.883,22.5
1/13/10,335,0.911,22.3
1/13/10,335,0.918,22.3
1/16/10,335,0.979,21.7
1/25/10,335,0.988,22.5
1/13/10,335,1.024,22.3
1/16/10,335,1.057,21.7
1/11/10,335,1.070,22.6
1/13/10,335,1.095,22.3
1/11/10,335,1.116,22.6
1/13/10,335,1.127,22.4
1/16/10,335,1.260,21.9
1/13/10,335,1.314,22.4
1/13/10,335,1.531,22.4
1/16/10,335,1.531,21.7
1/16/10,335,1.562,21.7
1/16/10,335,1.566,21.9
1/25/10,335,1.757,22.5
1/13/10,335,1.801,22.3
1/13/10,335,1.855,22.3
1/13/10,335,1.861,22.4
1/16/10,335,1.871,21.7
1/16/10,335,2.205,21.9
1/13/10,335,2.334,22.3
1/13/10,335,2.343,22.3
1/13/10,335,2.504,22.4
1/13/10,335,2.536,22.4
1/13/10,335,2.621,22.3
1/13/10,335,3.338,22.3
1/13/10,335,4.206,22.3
1/16/10,335,4.392,21.9
1/25/10,335,4.444,22.5
1/13/10,335,4.477,22.4
1/13/10,335,4.528,22.3
1/11/10,335,5.733,22.6
1/16/10,357,0.603,22.4
1/16/10,357,0.616,22.4
1/16/10,357,0.628,22.4
1/16/10,357,0.686,22.3
1/16/10,357,0.700,22.3
1/11/10,357,0.705,22.7
1/16/10,357,0.710,22.4
1/2/10,357,0.721,21.7
1/16/10,357,0.721,22.4
1/11/10,357,0.735,22.7
1/16/10,357,0.736,22.3
1/16/10,357,0.740,22.1
1/16/10,357,0.741,22.1
1/16/10,357,0.776,22.1
1/11/10,357,0.820,22.7
1/13/10,357,0.896,22.3
1/16/10,357,0.961,22.4
1/16/10,357,0.998,22.1
1/16/10,357,1.006,22.3
1/11/10,357,1.014,22.7
1/11/10,357,1.046,22.7
1/16/10,357,1.059,22.1
1/11/10,357,1.087,22.7
1/16/10,357,1.114,22.3
1/13/10,357,1.172,22.3
1/13/10,357,1.186,22.3
1/13/10,357,1.199,22.3
1/16/10,357,1.237,22.3
1/13/10,357,1.381,22.3
1/2/10,357,1.394,21.7
1/16/10,357,1.398,22.4
1/2/10,357,1.452,21.7
1/2/10,357,1.552,21.7
1/11/10,357,1.607,22.7
1/16/10,357,1.853,22.1
1/16/10,357,1.857,22.3
1/11/10,357,1.901,22.7
1/16/10,357,1.923,22.1
1/16/10,357,2.032,22.3
1/13/10,357,2.222,22.3
1/16/10,357,2.342,22.3
1/16/10,357,2.754,22.4
1/11/10,357,3.186,22.7
1/16/10,357,3.600,22.1
1/13/10,357,3.772,22.3
1/16/10,357,3.968,22.3
1/16/10,357,4.018,22.3
1/2/10,357,4.060,21.7
1/16/10,357,4.069,22.4
1/13/10,357,4.495,22.3
1/16/10,357,4.688,22.4
1/11/10,357,5.097,22.7
1/16/10,357,5.915,22.1
1/16/10,357,7.663,22.4
1/16/10,357,9.384,22.1
1/16/10,357,9.503,22.1
1/16/10,357,9.760,22.4
1/16/10,357,9.979,22.1
1/16/10,357,13.186,22.4
12/10/09,358,0.407,20.5
12/10/09,358,0.497,20.7
12/10/09,358,0.518,20.6
12/10/09,358,0.547,20.5
12/10/09,358,0.561,20.6
12/10/09,358,0.569,20.4
12/10/09,358,0.572,20.7
12/10/09,358,0.573,20.6
12/10/09,358,0.574,20.7
12/10/09,358,0.610,20.5
12/10/09,358,0.618,20.8
12/10/09,358,0.706,20.7
12/10/09,358,0.712,20.4
12/10/09,358,0.728,20.5
12/10/09,358,0.765,20.7
12/10/09,358,0.770,20.4
12/10/09,358,0.819,20.7
12/10/09,358,0.821,20.5
12/10/09,358,0.846,20.6
12/10/09,358,0.866,20.7
12/10/09,358,0.883,20.6
12/10/09,358,0.894,20.5
12/10/09,358,0.947,20.5
12/10/09,358,0.959,20.4
12/10/09,358,0.974,20.5
12/10/09,358,1.012,20.7
12/10/09,358,1.055,20.7
12/10/09,358,1.094,20.4
12/10/09,358,1.101,20.5
12/10/09,358,1.111,20.6
12/10/09,358,1.140,20.6
12/10/09,358,1.167,20.7
12/10/09,358,1.260,20.6
12/10/09,358,1.375,20.8
12/10/09,358,1.405,20.5
12/10/09,358,1.435,20.7
12/10/09,358,1.473,20.7
12/10/09,358,1.544,20.5
12/10/09,358,2.185,20.4
12/10/09,358,2.238,20.6
12/10/09,358,2.936,20.5
12/10/09,358,3.240,20.6
12/10/09,358,3.948,20.4
12/10/09,358,4.281,20.4
12/10/09,358,4.391,20.4
12/10/09,358,4.613,20.4
12/10/09,358,4.926,20.4
12/10/09,358,5.053,20.4
12/10/09,358,5.576,20.6
12/10/09,358,9.677,20.6
11/18/09,360,0.347,20.7
11/18/09,360,0.483,21.8
11/23/09,360,0.500,20.7
11/23/09,360,0.519,20.6
11/18/09,360,0.637,21.7
11/18/09,360,0.647,20.7
11/18/09,360,0.655,21.8
11/23/09,360,0.660,20.7
11/24/09,360,0.694,20.3
11/23/09,360,0.698,20.6
11/23/09,360,0.709,20.7
11/24/09,360,0.736,20.3
11/23/09,360,0.737,20.6
11/16/09,360,0.775,21.8
11/18/09,360,0.790,21.7
11/24/09,360,0.820,20.3
11/18/09,360,0.834,21.7
11/24/09,360,0.850,20.3
11/23/09,360,0.860,20.6
11/23/09,360,0.876,20.6
11/23/09,360,0.895,20.7
11/18/09,360,0.912,21.8
11/24/09,360,0.972,20.3
11/16/09,360,1.042,21.8
11/23/09,360,1.092,20.6
11/18/09,360,1.109,21.7
11/24/09,360,1.111,20.3
11/16/09,360,1.226,22.3
11/18/09,360,1.580,21.7
11/18/09,360,1.601,21.7
11/23/09,360,1.675,20.7
11/18/09,360,1.780,21.7
11/18/09,360,1.920,21.8
11/18/09,360,1.931,21.7
11/18/09,360,2.038,20.7
11/23/09,360,2.073,20.7
11/24/09,360,2.181,20.3
11/16/09,360,2.333,21.8
11/16/09,360,2.461,22.3
11/24/09,360,2.503,20.3
11/18/09,360,2.762,20.7
11/23/09,360,2.845,20.6
11/24/09,360,2.967,20.3
11/18/09,360,3.001,20.7
11/16/09,360,3.022,22.3
11/24/09,360,3.048,20.3
11/23/09,360,3.231,20.6
11/16/09,360,3.264,22
11/18/09,360,3.526,21.8
11/23/09,360,3.673,20.6
11/16/09,360,3.708,22.3
11/16/09,360,3.820,21.8
11/16/09,360,3.826,21.4
11/23/09,360,3.833,20.7
11/16/09,360,3.923,22.3
11/24/09,360,4.200,20.3
11/16/09,360,4.211,21.4
11/23/09,360,4.296,20.6
11/18/09,360,4.318,20.7
11/16/09,360,4.561,22
11/23/09,360,4.634,20.7
11/23/09,360,4.641,20.7
11/18/09,360,4.679,20.7
11/23/09,360,4.693,20.6
11/16/09,360,4.822,21.4
11/16/09,360,4.917,22
11/16/09,360,5.325,22.3
11/16/09,360,5.427,21.4
11/18/09,360,5.512,20.7
11/16/09,360,5.522,22.3
11/16/09,360,5.622,21.8
11/18/09,360,5.642,20.7
11/18/09,360,5.643,20.7
11/16/09,360,5.942,22.3
11/18/09,360,6.262,20.7
11/16/09,360,6.542,21.8
11/16/09,360,6.736,21.8
11/16/09,360,8.066,22
11/16/09,360,8.337,21.4
11/23/09,360,8.490,20.6
11/16/09,360,10.427,21.8
1/2/10,362,0.336,21.7
1/2/10,362,0.339,21.7
1/2/10,362,0.346,21.7
1/2/10,362,0.365,21.7
1/2/10,362,0.376,21.7
1/2/10,362,0.389,21.7
1/2/10,362,0.396,21.7
1/2/10,362,0.397,21.7
1/2/10,362,0.405,21.7
1/2/10,362,0.410,21.7
1/2/10,362,0.413,21.7
1/2/10,362,0.455,21.7
1/2/10,362,0.478,21.7
1/2/10,362,0.489,21.7
1/2/10,362,0.491,21.7
1/2/10,362,0.521,21.7
1/2/10,362,0.524,21.7
1/2/10,362,0.577,21.7
1/2/10,362,0.585,21.7
1/2/10,362,0.591,21.7
1/2/10,362,0.594,21.7
1/2/10,362,0.627,21.7
1/2/10,362,0.688,21.7
1/2/10,362,0.692,21.7
1/2/10,362,0.694,21.7
1/2/10,362,0.707,21.7
1/2/10,362,0.773,21.7
1/2/10,362,0.779,21.7
1/2/10,362,0.809,21.7
1/2/10,362,0.880,21.7
1/2/10,362,0.913,21.7
1/2/10,362,0.932,21.7
1/2/10,362,0.932,21.7
1/2/10,362,0.980,21.7
1/2/10,362,1.049,21.7
1/2/10,362,1.091,21.7
1/2/10,362,1.208,21.7
1/2/10,362,1.339,21.7
1/2/10,362,1.389,21.7
1/2/10,362,1.418,21.7
1/2/10,362,1.555,21.7
12/15/09,362,1.588,21.8
12/10/09,362,1.627,20.4
1/2/10,362,1.667,21.7
1/2/10,362,1.762,21.7
1/2/10,362,1.821,21.7
1/2/10,362,1.917,21.7
1/2/10,362,2.345,21.7
12/10/09,362,2.838,20.4
1/2/10,362,3.418,21.7
1/2/10,362,4.825,21.7
1/16/10,365,0.317,22.5
1/16/10,365,0.366,22.5
1/16/10,365,0.583,22.5
1/18/10,365,0.592,23
1/16/10,365,0.602,22.5
1/18/10,365,0.606,23
1/16/10,365,0.613,22.5
1/16/10,365,0.667,22.4
1/2/10,365,0.684,21.7
1/18/10,365,0.685,23
1/13/10,365,0.699,22.4
1/16/10,365,0.738,22.5
1/18/10,365,0.739,23
1/18/10,365,0.749,23
1/18/10,365,0.770,23
1/2/10,365,0.774,21.7
1/16/10,365,0.776,22.5
1/16/10,365,0.777,22.4
1/18/10,365,0.779,23
1/18/10,365,0.835,23
1/16/10,365,0.840,22.4
1/18/10,365,0.857,23
1/16/10,365,0.866,22.4
1/18/10,365,0.886,23
1/16/10,365,0.887,22.5
1/18/10,365,0.939,23
1/11/10,365,0.982,22.7
1/18/10,365,0.988,23
1/2/10,365,1.009,21.7
1/18/10,365,1.009,23
1/18/10,365,1.018,23
1/16/10,365,1.044,22.5
1/18/10,365,1.070,23
1/18/10,365,1.147,23
1/18/10,365,1.156,23
1/13/10,365,1.168,22.4
12/21/09,365,1.358,21
1/18/10,365,1.361,23
1/2/10,365,1.373,21.7
1/2/10,365,1.529,21.7
12/15/09,365,1.561,21.8
12/21/09,365,1.608,21
1/16/10,365,1.842,22.4
1/18/10,365,1.864,23
1/16/10,365,2.191,22.4
1/16/10,365,2.209,22.5
1/16/10,365,2.368,22.5
12/21/09,365,2.847,21
1/16/10,365,2.873,22.4
1/16/10,365,4.654,22.5
12/15/09,365,4.921,21.8
12/15/09,365,7.058,21.8
1/2/10,365,7.067,21.7
1/18/10,365,7.906,23
