Day,Strain,Pathlength,Line
2,25180,4.736,313
2,25180,6.676,313
2,25180,6.236,313
2,25180,6.406,313
2,25180,8.622,313
2,25180,8.54,313
2,25180,10.16,313
2,25180,9.312,313
2,25180,8.328,313
2,25180,6.632,313
2,25180,8.988,313
2,25180,4.546,313
3,25180,4.692,313
3,25180,9.978,313
3,25180,11.51,313
3,25180,7.25,313
3,25180,9.692,313
3,25180,9.136,313
3,25180,8.828,313
3,25180,7.378,313
3,25180,8.348,313
3,25180,7.588,313
3,25180,6.54,313
3,25180,8.564,313
3,25180,11.664,313
3,25180,6.7,313
3,25180,1.154,313
3,25180,6.304,313
3,25180,2.186,313
3,25180,10.076,313
4,25180,5.486,313
4,25180,6.63,313
4,25180,9.35,313
4,25180,6.196,313
4,25180,10.182,313
4,25180,8.274,313
4,25180,7.454,313
4,25180,9.718,313
4,25180,9.23,313
4,25180,8.852,313
4,25180,3.948,313
4,25180,9.032,313
4,25180,5.452,313
4,25180,6.626,313
4,25180,8.096,313
4,25180,3.158,313
4,25180,8.834,313
4,25180,9.216,313
4,25180,10.468,313
5,25180,6.104,313
5,25180,8.054,313
5,25180,7.406,313
5,25180,5.898,313
5,25180,4.19,313
5,25180,10.142,313
5,25180,10.052,313
5,25180,8.11,313
5,25180,10.254,313
5,25180,9.056,313
5,25180,6.992,313
5,25180,7.134,313
5,25180,10.008,313
5,25180,6.996,313
5,25180,2.956,313
5,25180,9.992,313
5,25180,6.57,313
5,25180,9.162,313
5,25180,0.898,313
5,25180,1.012,313
1,25181,10.978,315
1,25181,12.542,315
1,25181,6.064,315
1,25181,6.68,315
1,25181,9.082,315
1,25181,5.792,315
1,25181,1.772,315
1,25181,8.75,315
1,25181,8.008,315
1,25181,10.434,315
1,25181,6.568,315
1,25181,6.602,315
1,25181,8.178,315
1,25181,7.606,315
1,25181,9.428,315
1,25181,6.456,315
1,25181,6.716,315
1,25181,4.428,315
1,25181,7.052,315
1,25181,2.968,315
2,25181,8.134,315
2,25181,10.144,315
